Site,ALB.17,AUS.18,AUS.18a,AUT.70,BGR.66,BRA.53,BRA.53a,BWA.19,CAN.22,CAN.22a,CAN.22b,CAN.22c,CHE.67,CHN.64,CIV.13,COL.2,CZE.23,DEU.27,DNK.71_RA,DNK.71_RD,DNK.71_RL,ECU.14,ECU.14a,ESP.75,ETH.24,FIN.25,GEO.59,GHA.4,HRV.68,HUN.61,IND.11,IRL.69,IRN.12,ISL.28,ISR.29,ITA.30,KAZ.6,KEN.72,KHM.21,LKA.40,LUX.32,LVA.31,MDA.65,MKD.62,MLT.63,MYS.54,NGA.50,NLD.43,NOR.34,NPL.33,NZL.56,PAK.7,PER.35,POL.36,SEN.8,SGP.52,SRB.37,SVK.9,SVN.38,SWE.41,SWE.41a,TGO.44,TUR.46,TZA.15,USA.74,USA.74a,USA.74b,USA.74c,USA.74d,USA.74e,USA.74f,USA.74g,USA.74h,USA.74i,VNM.48,XK.60,ZAF.39,ZMB.49,ZMB.49b
Country,ALB,AUS,AUS,AUT,BGR,BRA,BRA,BWA,CAN,CAN,CAN,CAN,CHE,CHN,CIV,COL,CZE,DEU,DNK,DNK,DNK,ECU,ECU,ESP,ETH,FIN,GEO,GHA,HRV,HUN,IND,IRL,IRN,ISL,ISR,ITA,KAZ,KEN,KHM,LKA,LUX,LVA,MDA,MKD,MLT,MYS,NGA,NLD,NOR,NPL,NZL,PAK,PER,POL,SEN,SGP,SRB,SVK,SVN,SWE,SWE,TGO,TUR,TZA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,VNM,XK.,ZAF,ZMB,ZMB
Country Full,Albania,Australia,Australia,Austria,Bulgaria,Brasil,Brasil,Botswana,Canada,Canada,Canada,Canada,Switzerland,China,COTE DIVOIRE,Colombia,Czech Republic,Germany,Denmark,Denmark,Denmark,Ecuador ,Ecuador ,Spain,Ethiopia,Finland,Georgia,Ghana,Croatia,Hungary,India,Ireland,Iran,Iceland,Israel,Italy,Kazakhstan,Kenya,Cambodia ,Sri Lanka,Luxembourg,Latvia,Republic of Moldova,Republic of Macedonia,Malta,Malaysia,Nigeria,The Netherlands,Norway,Nepal,New Zealand,Pakistan,Peru,Poland,Senegal,Singapore,Serbia,Slovak Republic,Slovenia,Sweden,Sweden,Togo,Turkey,Tanzania,USA,USA,USA,USA  ,USA,USA  ,USA  ,USA  ,USA  ,USA  ,Vietnam,Kosovo,South Africa,Zambia,Zambia
Continent,Europe,Oceania,Oceania,Europe,Europe,South America,South America,Africa,North America,North America,North America,North America,Europe,Asia,Africa,South America,Europe,Europe,Europe,Europe,Europe,South America,South America,Europe,Africa,Europe,Asia,Africa,Europe,Europe,Asia,Europe,Middle East,Europe,Middle East,Europe,Asia,Africa,Asia,Asia,Europe,Europe,Europe,Europe,Europe,Asia,Africa,Europe,Europe,Asia,Oceania,Asia,South America,Europe,Africa,Asia,Europe,Europe,Europe,Europe,Europe,Africa,Europe,Africa,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Asia,Europe,Africa,Africa,Africa
fosA_12_AY692231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110509525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345147075,0,0,0,0,0.059168211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038962684
fosA_14_AB522970,0,0,0,0,0,0,0,0.350388634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428905,0,0,0.149726916,0,0,0,0.24816365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177340745,0.048773431
fosA_2_AGDM01000012,0.174610277,0,0.136692808,0.112617386,0,0,0,0,0.404687634,0,0.98867953,0,0,0,0,0,0,0.429611057,0,0.11795111,0,0,0,0.623042509,0,0,0.082786165,0,0,0,0,0.421084812,0,0.133471796,0,0,0,0,0,0.09004048,0,0,0,0,0.238462506,0,0,0,0.594629752,0.214484254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381627036,0,0.357854666,0,0.220360106,0.242398638,0,0,0,0.342444423,0,0,0,0,0
fosA_8_ACHE01000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177717681,0,0,0,0,0,0,0,0,0,0,0,0,0
fosA_clust1,0,0,0.73635882,0.192301504,0,0.342181209,0.312934178,1.782113122,0.438063934,0.583369411,0.310801682,0.261394742,0,1.353265642,0.199919743,0.428110745,0,0.733588795,0.192322767,0.085119358,0.527232327,0,0,0.511889386,1.083304643,0,0,0,0,0,2.619771577,0.20757702,0.152876347,0,1.529766379,0.150295014,0,0.848415849,0.755424148,0.331294578,0.148404761,1.075094745,0,0.103536199,0.470207759,1.668366406,0.705770362,0.584745138,0,0,0.095395887,0.66541741,1.813140487,0.61164632,4.150546478,3.964935438,0.152656881,0.162652441,0.366245742,0.668612335,0.248094556,0.28105222,0,0.792258465,0,0.357938428,1.351243006,0.606965503,0.1881396,0.238984573,0.441804222,0.589813925,0.399863745,0.337621262,1.794484915,0.137071124,2.185035133,0.427721569,1.381101822
fosA_clust2,0.087305138,0.567184511,0.410078425,0.112617386,0.096442723,0.173534756,0.952213998,4.522516154,0,0,0.98867953,0.265128953,0,3.014536002,1.013878698,0.593239176,0,1.074027643,0.39014047,0.11795111,0.267382108,0.114916553,1.501977263,0,0,1.176647251,0,0,0.200946042,0,4.635757156,0.631627218,0.465180885,0,3.103240369,0,1.118201077,0.798775114,2.298647765,0.630283358,0.451574489,0,0.162968385,0.105015287,0.834618771,4.965444873,1.310145683,0,1.48657438,0,0.096758685,1.574821204,0.985564209,0,0.294150535,5.394544583,0.309675388,0.450779623,0,0.678163939,0.251638763,0.285067251,0,0.596837022,0.381627036,0.363051834,0.536781999,2.25733361,2.203601059,3.151182295,0.776200428,2.243399394,0.540768112,0,0.423554611,0.278058566,4.292370894,0.704296102,1.40432644
fosB_clust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246391052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fosC_1_AB522969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144576371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hugA,0,0,0,0,0,0,0,0,0,0,0.033066205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070028075,0,0,0,0,0,0,0
imiS_imiH_blaCEPH_clust,0.383457862,0.077848854,0.075047032,0.370974918,0.158846837,0.095273984,0.174261385,0,0.110656775,0,0.038771746,0,0.104978718,0.275839896,0,0,0.271544092,0,0.107097384,0.129514944,0.14679802,0.252365763,0,0.455860709,0,0.430668275,0.363609824,0,0.551616586,0,0,0.635529735,0.085131142,0.073278633,0.283956635,0.083693694,0.409276211,0,0,0,0.165282166,0.219139549,0.089472839,0,1.047364733,0,0.143297184,0.651245566,0.081615848,0.117756061,0.053122415,0.123032907,0.135273519,0.681206098,0,0,0,0.123743426,0.082774122,0,0.069077308,10.32766163,2.890642124,0.655350455,0.209520726,0.099661288,0.392938457,0.225330984,0,0,0,0.328445401,0.741650874,0.376017406,6.23951481,0.228989407,0,0.096668092,0.398794526
